City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.484,-69.3632,-16.32,66,88,3.26,GL,1675396695
1,rikitea,-23.1203,-134.9692,26.3,71,36,6.62,PF,1675396695
2,aykhal,66.0,111.5,-25.5,96,100,2.49,RU,1675396696
3,ushuaia,-54.8,-68.3,12.81,62,75,1.03,AR,1675396585
4,faya,18.3851,42.4509,7.06,50,32,1.6,SA,1675396696
5,bredasdorp,-34.5322,20.0403,15.48,85,0,1.4,ZA,1675396696
6,sandwick,60.0,-1.25,7.9,66,75,18.52,GB,1675396697
7,mudgee,-32.5943,149.5871,23.77,23,0,6.45,AU,1675396697
8,gerash,27.6652,54.1371,9.08,91,13,0.35,IR,1675396697
9,nanae,41.8833,140.6833,-4.87,74,75,4.12,JP,1675396698
10,new norfolk,-42.7826,147.0587,20.4,41,48,0.89,AU,1675396698
11,esterhazy,50.65,-102.0843,-23.53,90,95,2.06,CA,1675396698
12,hambantota,6.1241,81.1185,26.19,100,75,4.12,LK,1675396699
13,port alfred,-33.5906,26.891,18.99,90,62,2.24,ZA,1675396699
14,barrow,71.2906,-156.7887,-18.99,78,100,5.66,US,1675396700
15,polignano a mare,40.9959,17.2159,8.4,68,2,6.21,IT,1675396700
16,atuona,-9.8,-139.0333,26.13,76,68,8.3,PF,1675396700
17,saint-philippe,-21.3585,55.7679,25.77,86,64,4.29,RE,1675396701
18,cesis,57.3119,25.2746,-2.93,93,97,2.01,LV,1675396701
19,dawson creek,55.7666,-120.2362,-1.9,78,0,0.0,CA,1675396702
20,east london,-33.0153,27.9116,20.52,100,100,3.09,ZA,1675396702
21,bathsheba,13.2167,-59.5167,25.34,73,40,8.75,BB,1675396702
22,lorengau,-2.0226,147.2712,29.76,66,74,2.33,PG,1675396703
23,puerto ayora,-0.7393,-90.3518,24.75,90,94,1.84,EC,1675396703
24,ostrovnoy,68.0531,39.5131,-5.5,91,100,2.0,RU,1675396703
25,ulladulla,-35.35,150.4667,24.7,25,2,5.73,AU,1675396704
26,kapaa,22.0752,-159.319,26.18,84,100,4.12,US,1675396472
27,kalabo,-14.97,22.6814,17.94,95,97,1.21,ZM,1675396704
28,comodoro rivadavia,-45.8667,-67.5,17.92,39,0,3.6,AR,1675396704
29,cabedelo,-6.9811,-34.8339,26.37,73,19,5.51,BR,1675396705
30,sunndalsora,62.6754,8.5515,-6.19,79,83,5.41,NO,1675396705
31,georgetown,5.4112,100.3354,29.96,78,20,3.09,MY,1675396129
32,caravelas,-17.7125,-39.2481,23.4,89,0,2.37,BR,1675396706
33,carutapera,-1.195,-46.02,23.52,94,100,2.26,BR,1675396706
34,ekibastuz,51.6667,75.3667,-18.49,98,86,1.47,KZ,1675396706
35,victoria,22.2855,114.1577,22.2,71,84,3.58,HK,1675396691
36,port elizabeth,-33.918,25.5701,19.62,91,75,5.66,ZA,1675396707
37,pocone,-16.2567,-56.6228,24.96,78,99,2.21,BR,1675396707
38,qasigiannguit,68.8193,-51.1922,-18.4,93,100,3.02,GL,1675396708
39,shakawe,-18.3667,21.85,19.52,95,100,1.3,BW,1675396708
40,souillac,-20.5167,57.5167,24.21,94,75,1.54,MU,1675396708
41,ritchie,-29.038,24.6028,17.56,51,7,3.52,ZA,1675396709
42,charters towers,-20.1,146.2667,25.71,73,100,2.41,AU,1675396709
43,tecoanapa,16.5167,-98.75,25.31,72,0,2.27,MX,1675396709
44,hobart,-42.8794,147.3294,20.59,48,0,3.6,AU,1675396710
45,hofn,64.2539,-15.2082,0.45,73,53,2.93,IS,1675396710
46,hermanus,-34.4187,19.2345,13.22,84,0,4.04,ZA,1675396710
47,karratha,-20.7377,116.8463,33.83,52,13,5.26,AU,1675396711
48,busselton,-33.65,115.3333,28.63,36,36,3.1,AU,1675396711
49,chuy,-33.6971,-53.4616,20.72,82,100,4.48,UY,1675396712
50,gigmoto,13.7796,124.39,26.88,80,55,7.32,PH,1675396712
51,vardo,70.3705,31.1107,-7.01,93,94,5.14,NO,1675396712
52,haapiti,-17.5667,-149.8667,28.85,80,19,6.56,PF,1675396713
53,salinopolis,-0.6136,-47.3561,24.58,87,100,2.99,BR,1675396713
54,orbe,46.725,6.5307,2.64,86,47,0.91,CH,1675396713
55,sao filipe,14.8961,-24.4956,21.5,71,100,5.73,CV,1675396714
56,uhlove,44.8215,33.6045,2.42,97,100,3.91,UA,1675396714
57,avarua,-21.2078,-159.775,28.03,78,99,6.17,CK,1675396715
58,yellowknife,62.456,-114.3525,-28.58,76,0,5.14,CA,1675396715
59,laguna,38.421,-121.4238,10.59,71,0,2.57,US,1675396715
60,oussouye,12.485,-16.5469,21.05,46,10,3.24,SN,1675396716
61,thompson,55.7435,-97.8558,-32.91,75,0,1.54,CA,1675396716
62,chany,55.3121,76.7647,-23.13,100,28,0.68,RU,1675396716
63,shenjiamen,29.9576,122.298,7.11,71,100,4.92,CN,1675396717
64,bella vista,36.4295,-94.2316,-0.62,83,0,0.0,US,1675396717
65,palora,-1.7,-77.9333,20.78,75,100,1.34,EC,1675396717
66,perbaungan,3.5679,98.956,30.06,69,79,2.97,ID,1675396718
67,evensk,61.95,159.2333,-16.41,79,16,3.87,RU,1675396718
68,cape town,-33.9258,18.4232,18.28,71,0,6.69,ZA,1675396168
69,nikolskoye,59.7035,30.7861,-3.06,96,100,1.94,RU,1675396718
70,san lorenzo,-25.3333,-57.5333,24.77,100,100,0.0,PY,1675396719
71,chokurdakh,70.6333,147.9167,-30.53,100,91,0.73,RU,1675396719
72,vaini,-21.2,-175.2,29.09,79,75,1.54,TO,1675396720
73,albany,42.6001,-73.9662,0.37,49,17,0.89,US,1675396449
74,tafalla,42.5269,-1.6745,0.22,91,0,3.15,ES,1675396720
75,jamestown,42.097,-79.2353,-4.23,93,100,7.72,US,1675395940
76,bluff,-46.6,168.3333,20.24,81,68,4.31,NZ,1675396578
77,mar del plata,-38.0023,-57.5575,21.72,79,75,5.36,AR,1675396421
78,cherskiy,68.75,161.3,-23.18,98,100,0.98,RU,1675396721
79,bonavista,48.6499,-53.1147,-6.04,72,70,6.97,CA,1675396721
80,aklavik,68.2191,-135.0107,-29.94,94,100,3.61,CA,1675396722
81,coquimbo,-29.9533,-71.3436,16.85,88,100,3.09,CL,1675396722
82,carnarvon,-24.8667,113.6333,32.46,52,8,3.14,AU,1675396722
83,bontang,0.1333,117.5,25.44,84,100,2.23,ID,1675396723
84,gazojak,41.1875,61.4036,1.42,88,99,3.61,TM,1675396723
85,hithadhoo,-0.6,73.0833,27.33,69,18,7.27,MV,1675396723
86,sisimiut,66.9395,-53.6735,-14.53,85,100,3.87,GL,1675396724
87,leningradskiy,69.3833,178.4167,-30.43,99,53,1.66,RU,1675396724
88,batagay-alyta,67.8006,130.4114,-30.19,97,100,0.56,RU,1675396724
89,tazovskiy,67.4667,78.7,-18.82,99,42,3.04,RU,1675396725
90,haines junction,60.7522,-137.5108,-11.03,85,100,0.51,CA,1675396725
91,tiarei,-17.5333,-149.3333,29.01,80,33,7.42,PF,1675396725
92,rio gallegos,-51.6226,-69.2181,16.03,59,0,2.57,AR,1675396698
93,punta arenas,-53.15,-70.9167,13.06,67,100,4.12,CL,1675396726
94,klyavlino,54.2649,52.0267,-8.72,85,100,3.27,RU,1675396726
95,keetmanshoop,-26.5833,18.1333,22.14,35,74,1.89,NA,1675396726
96,puerto escondido,15.85,-97.0667,26.46,73,0,0.0,MX,1675396437
97,north bend,43.4065,-124.2243,8.25,70,0,0.0,US,1675396727
98,broome,42.2506,-75.833,0.43,54,75,4.63,US,1675396727
99,saint george,37.1041,-113.5841,6.33,51,0,0.89,US,1675396728
100,pevek,69.7008,170.3133,-27.58,100,90,1.23,RU,1675396728
101,kavaratti,10.5669,72.642,27.04,71,100,3.6,IN,1675396729
102,tuktoyaktuk,69.4541,-133.0374,-39.0,74,75,1.54,CA,1675396729
103,kodiak,57.79,-152.4072,-0.27,86,75,0.0,US,1675396730
104,kiama,-34.6833,150.8667,27.92,35,16,0.99,AU,1675396730
105,narsaq,60.9167,-46.05,-21.26,79,34,2.84,GL,1675396730
